,strategy,popsize,ep_eta,ip_eta,ep_delta,ip_delta,sp_ge,sp_gi,desired_frequency,fitness,iterations,execution_time
21,best1bin,20,6.763390050516669,0.5940313118381866,0.6821846416052479,0.8046538108971244,5.9697838493313515,4.700364328096136,10,0.0,10,275.23557591438293
22,best1bin,20,15.655932674538658,13.523277748151983,0.5327487072689888,0.7464561609019338,6.985472897999423,7.598410295235843,10,0.0,10,1470.0544469356537
23,best1bin,20,15.29402354870798,8.8489193463206,0.1018016531905137,0.911498583941544,17.492378411082058,27.946651546210845,10,0.0,10,414.39088773727417
24,best1bin,20,5.958092928722336,1.3604374761402411,0.3098665683877013,0.556513214819208,16.85718023764662,12.84799243776385,10,0.0,10,197.67406678199768
25,best1bin,20,17.32556591828293,12.048779245253073,0.3472576995849422,0.8637291856814905,4.3725899200553195,3.701501138140325,10,0.0,10,145.98448300361633
26,best1bin,20,6.183542166217521,2.360434518171836,0.2858895031883215,0.9265684263340422,16.610892068325555,27.31054366320231,10,0.0,10,187.3969430923462
27,best1bin,20,7.665358535719545,4.818082615132333,0.3711137999908763,0.6996208224178595,7.010180979596944,11.27341069081471,10,0.0,10,683.0597560405731
28,best1bin,20,12.020041085288993,8.33804367064947,0.5418593998863653,0.7779594242123368,18.962650016195223,11.480619525741336,10,0.0,10,769.8025908470154
29,best1bin,20,9.659603815566308,1.1631347599284825,0.5592949250702793,0.925137403629137,8.797615135862424,5.167455434507737,10,0.0,10,535.5645580291748
30,best1bin,20,8.296294960153325,3.922478176345905,0.6447489912693554,0.718652365369955,6.960921339224799,4.930786011695233,10,0.0,10,359.2472879886627
31,best1bin,20,10.196925487616308,6.234637638906413,0.0551856911877938,0.9634914528607336,5.905774165705782,12.946505482614503,10,0.0,10,181.87740015983584
32,best1bin,20,8.10914078976328,5.1183634350321725,0.3252187933171289,0.5213099130299407,8.030723702104222,8.968511314797604,10,0.0,10,178.301922082901
33,best1bin,20,17.583410900478498,14.775200584823304,0.7212849986952762,0.6437048281696509,3.216051040427038,3.0550838445895714,10,0.0,10,229.07562518119812
34,best1bin,20,15.179253676254964,12.1215306174523,0.8729935096298316,0.6969666947505523,3.267495261939607,4.82597353823534,10,0.0,10,407.2884871959686
35,best1bin,20,10.600970226752006,7.669738799967334,0.2538087637562567,0.4874063968209933,13.592603923177853,22.189570920566062,10,0.0,10,164.41910099983215
36,best1bin,20,14.616679418442825,2.6752488175308216,0.6968881233636476,0.6557790580651542,5.552249141689255,3.00365169721381,10,0.0,10,292.90598034858704
37,best1bin,20,11.200985030429909,7.338534417781659,0.4784020313054449,0.8149785841202781,6.445828259306816,5.156986752724512,10,0.0,10,141.35997891426086
38,best1bin,20,13.580901095533315,8.798392992715847,0.4000662201292396,0.7827797822107014,13.381612124585684,7.89511584327211,10,0.0,10,178.0913097858429
39,best1bin,20,12.565175179816906,10.727315007717891,0.2758018739567789,0.8768352354002041,10.713528441195455,14.153699500611282,10,0.0,10,295.2073588371277
40,best1bin,20,17.53388151153393,5.328888020640235,0.5186522408026261,0.9000546457829189,1.36600006363593,18.48650172323886,20,0.0,10,236.27105689048767
41,best1bin,20,1.3458891055784648,9.357770902619372,0.2394850548421971,0.1444603998259379,16.168900338304574,23.38542326579494,60,0.0,10,121.96770191192628
42,best1bin,20,4.637777942538728,11.358075360688744,0.0235779896702711,0.0317176721850331,19.553636716591008,14.983385457421765,60,0.0,10,121.9254891872406
43,best1bin,20,5.6838356206280265,3.251906669578453,0.7039097033538618,0.2748953084263155,5.322153415274143,18.011308839763174,60,0.0,10,121.01600909233092
44,best1bin,20,6.990812888647898,5.594267981178717,0.7015697064440132,0.155590615185827,1.9034002531865664,22.18273942164642,60,0.0,10,120.46182513237
