,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness,fitness.1,fitness.2,fitness.3,fitness.4,fitness
40,0.04,5.0,140.0,0.6266071995989756,0.9718088766361744,0.02,0.2,8,0,0.1912849781993745,3.912410834751,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.405289118020149,22.537929272544325,0.8,1.2,0,-80,5,5,60,59.99974454605834,49.0,18.332907576763898,59.99974454605834,49.0,18.332907576763898,optimized_frequencies,149,0.0,0.0,0.0,0.0,0.0,0.0
41,0.04,5.0,140.0,0.2226094329169168,1.0643852675683938,0.02,0.2,8,0,0.0854403227891663,7.552632400686448,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.4442198805008584,6.311073235608699,0.8,1.2,0,-80,5,5,60,59.99940800962971,59.0,1.6656800160495189,59.99940800962971,59.0,1.6656800160495189,optimized_frequencies,150,0.0,0.0,0.0,0.0,0.0,0.0
42,0.04,5.0,140.0,0.3583119661202936,11.34237312850739,0.02,0.2,8,0,0.1006571425199568,12.927840849874634,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.112578728027956,21.377917224308277,0.8,1.2,0,-80,5,5,60,59.99972641466418,64.0,-6.667122642226365,59.99972641466418,64.0,-6.667122642226365,optimized_frequencies,151,0.0,0.0,0.0,0.0,0.0,0.0
43,0.04,5.0,140.0,0.4531658492569726,1.627498692253445,0.02,0.2,8,0,0.0982456405795303,13.643883692506256,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.043114077635055,28.51331645227824,0.8,1.2,0,-80,5,5,60,59.9997864403884,63.0,-5.000355932686004,59.9997864403884,63.0,-5.000355932686004,optimized_frequencies,152,0.0,0.0,0.0,0.0,0.0,0.0
44,0.04,5.0,140.0,0.1382750671899726,10.641482029892764,0.02,0.2,8,0,0.1387373553170147,10.45960915063634,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.06717725508634,23.9208029679142,0.8,1.2,0,-80,5,5,60,59.99978855370736,8.0,86.66631425617894,59.99978855370736,61.0,-1.6670190771543976,optimized_frequencies,153,0.0,0.0,0.0,0.0,0.0,0.0
45,0.04,5.0,140.0,0.2988626934443378,17.391816933068096,0.02,0.2,8,0,0.1301079843017981,14.290128283985313,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.9294206853784903,28.94794368681366,0.8,1.2,0,-80,5,5,60,59.99978471397457,68.0,-13.333692143375716,59.99978471397457,68.0,-13.333692143375716,optimized_frequencies,154,0.0,0.0,0.0,0.0,0.0,0.0
46,0.04,5.0,140.0,0.2483071883255459,6.562847228923042,0.02,0.2,8,0,0.1231601564355788,8.560271526133675,0.1,0.2,2,0,0.8,0.2,0.2,0.8,17.432495972228512,26.229688904961737,0.8,1.2,0,-80,5,5,60,59.99985591850751,57.0,4.999759864179178,59.99985591850751,57.0,4.999759864179178,optimized_frequencies,155,0.0,0.0,0.0,0.0,0.0,0.0
47,0.04,5.0,140.0,0.2252147727030226,8.9477091437871,0.02,0.2,8,0,0.0770216648499679,9.934232023027429,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.05685075959398,21.430549560703632,0.8,1.2,0,-80,5,5,60,59.99985294802448,60.0,-0.0002450866258622,59.99985294802448,60.0,-0.0002450866258622,optimized_frequencies,156,0.0,0.0,0.0,0.0,0.0,0.0
48,0.04,5.0,140.0,0.2915397890811954,10.955624286649131,0.02,0.2,8,0,0.1383104261113056,8.762095251965413,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.150056978151817,28.90771989438779,0.8,1.2,0,-80,5,5,60,59.99978923925911,25.0,58.33298206543185,59.99978923925911,87.0,-45.000351267901486,optimized_frequencies,157,0.0,0.0,0.0,0.0,0.0,0.0
49,0.04,5.0,140.0,0.4099808576118595,10.419287806054673,0.02,0.2,8,0,0.1021275392690411,7.202892528228567,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.014215091717428,20.948558216204347,0.8,1.2,0,-80,5,5,60,59.99972610743892,87.0,-45.0004564876018,59.99972610743892,102.0,-70.00045648760181,optimized_frequencies,158,0.0,0.0,0.0,0.0,0.0,0.0
50,0.04,5.0,140.0,0.1974764470603454,10.37119501905422,0.02,0.2,8,0,0.1147661524905337,10.135658587602322,0.1,0.2,2,0,0.8,0.2,0.2,0.8,13.217542733505825,27.16907837468552,0.8,1.2,0,-80,5,5,60,59.99983121508262,15.0,74.99971869180438,59.99983121508262,59.0,1.6663853584710373,optimized_frequencies,159,0.0,0.0,0.0,0.0,0.0,0.0
51,0.04,5.0,140.0,0.8601708787740133,7.642148997147507,0.02,0.2,8,0,0.0572131756742995,10.410552533283235,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.9866351673375071,17.861737527279537,0.8,1.2,0,-80,5,5,60,59.99968804591963,60.0,-0.0005199234672777,59.99968804591963,60.0,-0.0005199234672777,optimized_frequencies,160,0.0,0.0,0.0,0.0,0.0,0.0
52,0.04,5.0,140.0,0.7456718990094399,12.762041948065384,0.02,0.2,8,0,0.0546763562187213,9.89723627138418,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.7410744297944296,24.076421872907368,0.8,1.2,0,-80,5,5,60,59.99975229539601,63.0,-5.000412841006654,59.99975229539601,63.0,-5.000412841006654,optimized_frequencies,161,0.0,0.0,0.0,0.0,0.0,0.0
